@relation unnamed_dataset

@attribute X1 {0,1,2,3}
@attribute X2 {0,1,2,3}
@attribute X3 {0,1,2,3}
@attribute X4 {0,1,2,3}
@attribute X5 {0,1,2,3}
@attribute C1 {A,B,C}
@attribute C2 {A,B,C}

@data
2,2,1,2,0,A,C
3,1,0,0,1,A,C
1,1,2,0,2,A,C
3,2,0,1,0,A,C
3,1,1,2,1,A,C
3,2,0,2,0,A,C
0,2,1,1,2,A,C
1,1,0,3,3,A,C
0,2,3,0,2,A,C
3,1,1,2,0,A,C
1,1,3,0,2,A,C
0,0,0,2,0,A,C
1,1,0,0,2,A,C
0,1,0,1,1,A,C
0,2,1,2,0,A,C
0,3,0,1,0,A,C
3,1,1,3,2,A,C
1,3,0,2,0,A,C
1,0,1,2,0,A,C
0,0,3,3,2,A,C
1,1,0,1,0,A,C
0,0,3,3,1,A,C
0,3,0,0,1,A,C
3,1,2,1,0,A,C
1,1,3,0,2,A,C
3,2,1,2,0,A,C
0,2,3,3,1,A,C
2,2,3,3,2,A,C
0,0,0,2,0,A,C
3,0,0,3,3,A,C
3,0,0,1,2,A,C
1,3,3,0,2,A,C
0,2,0,3,3,A,C
3,1,0,1,2,A,C
0,0,0,0,2,A,C
0,0,0,0,2,A,C
2,0,0,1,2,A,C
0,2,1,2,0,A,C
0,3,1,3,3,A,C
3,1,1,3,1,A,C
2,0,0,0,2,A,C
3,1,1,2,0,A,C
3,2,1,3,3,A,C
1,0,0,1,0,A,C
3,0,0,1,2,A,C
3,3,0,1,2,A,C
1,3,3,3,3,A,C
3,1,1,2,0,A,C
3,1,1,2,0,A,C
3,0,2,0,2,A,C
3,1,0,0,2,A,C
3,1,0,0,2,A,C
3,1,2,1,2,A,C
3,1,0,3,3,A,C
3,0,0,1,1,A,C
3,1,0,2,0,A,C
3,1,0,1,1,A,C
1,3,1,2,0,A,C
3,0,0,2,0,A,C
3,1,1,0,2,A,C
0,0,0,2,3,A,C
0,3,0,2,0,A,C
3,2,3,3,3,A,C
1,1,1,2,1,A,C
3,1,1,2,0,A,C
0,1,0,1,3,A,C
3,1,0,1,2,A,C
0,0,1,2,0,A,C
1,1,0,2,1,A,C
2,1,2,3,1,A,C
3,1,0,0,2,A,C
1,0,2,0,2,A,C
3,2,0,1,0,A,C
1,1,2,1,3,A,C
3,1,0,1,3,A,C
0,1,3,1,2,A,C
1,1,0,1,0,A,C
3,0,0,2,0,A,C
3,2,3,2,0,A,C
3,1,0,2,0,A,C
0,2,1,2,0,A,C
3,1,2,3,1,A,C
3,1,3,0,2,A,C
3,1,1,2,0,A,C
3,1,1,3,1,A,C
0,2,3,3,0,A,C
3,1,1,2,0,A,C
3,1,0,1,0,A,C
2,3,1,2,0,A,C
2,2,1,2,0,A,C
3,0,0,1,0,A,C
3,0,3,3,3,A,C
0,3,3,3,1,A,C
0,0,0,1,1,A,C
3,1,1,2,1,A,C
0,3,3,3,0,A,C
2,0,0,2,0,A,C
1,1,0,0,0,A,C
0,0,0,2,0,A,C
1,0,0,2,0,A,C
3,1,2,0,2,A,C
0,2,1,2,0,A,C
3,1,0,2,3,A,C
3,2,3,1,2,A,C
0,3,3,3,0,A,C
3,1,2,3,3,A,C
2,0,0,1,0,A,C
0,2,3,0,2,A,C
3,1,0,2,0,A,C
1,0,3,3,3,A,C
1,0,2,1,0,A,C
0,3,3,1,2,A,C
2,2,1,2,0,A,C
0,3,2,2,3,A,C
2,2,1,2,0,A,C
3,2,0,2,0,A,C
2,0,0,0,2,A,C
3,1,0,0,2,A,C
1,2,3,0,2,A,C
3,0,2,0,2,A,C
3,2,1,2,0,A,C
0,2,0,3,3,A,C
3,0,3,3,0,A,C
0,2,3,3,2,A,C
1,0,1,2,0,A,C
0,3,3,0,2,A,C
3,0,1,2,0,A,C
0,0,0,2,2,A,C
1,1,0,1,3,A,C
3,1,2,3,3,A,C
1,0,2,3,3,A,C
2,2,1,3,1,A,C
1,1,2,3,1,A,C
1,1,1,2,0,A,C
0,2,1,2,0,A,C
0,2,1,2,0,A,C
0,3,3,2,0,A,C
3,0,1,2,0,A,C
1,1,0,2,0,A,C
2,2,1,3,3,A,C
2,0,1,2,0,A,C
3,2,2,1,0,A,C
0,1,0,2,0,A,C
0,2,1,2,1,A,C
2,1,2,0,2,A,C
1,1,1,0,2,A,C
3,1,1,2,0,A,C
1,1,3,3,1,A,C
1,3,3,2,0,A,C
0,0,0,0,2,A,C
3,1,0,1,1,A,C
3,3,0,2,0,A,C
3,0,0,0,2,A,C
3,1,2,3,3,A,C
0,2,1,0,2,A,C
3,0,2,3,1,A,C
2,3,3,3,1,A,C
0,3,1,3,3,A,C
3,2,1,3,1,A,C
1,2,3,0,2,A,C
3,1,2,3,3,A,C
3,2,0,2,0,A,C
2,1,0,0,2,A,C
3,1,3,1,2,A,C
3,0,0,0,3,A,C
3,2,1,2,0,A,C
1,3,3,2,0,A,C
0,0,0,2,1,A,C
2,1,2,3,3,A,C
1,3,3,0,2,A,C
3,1,3,0,3,A,C
0,2,1,2,0,A,C
3,2,3,0,2,A,C
3,1,2,3,3,A,C
0,0,1,2,0,A,C
1,1,1,2,0,A,C
3,1,2,3,0,A,C
3,1,3,3,1,A,C
3,2,1,2,0,A,C
3,1,3,3,3,A,C
2,3,0,2,0,A,C
3,2,1,2,0,A,C
2,0,3,0,2,A,C
2,2,2,3,3,A,C
1,3,3,1,1,A,C
3,1,2,1,3,A,C
3,2,1,2,0,A,C
0,0,1,2,0,A,C
0,3,3,1,2,A,C
3,0,0,1,0,A,C
1,0,2,3,0,A,C
0,0,1,3,3,A,C
1,0,3,3,0,A,C
2,2,1,2,0,A,C
3,1,2,2,0,A,C
1,0,0,3,1,A,C
1,3,1,2,0,A,C
0,1,0,1,2,A,C
2,2,3,3,2,A,C
3,2,0,2,0,A,C
0,0,2,3,2,A,C
1,0,0,2,0,A,C
0,0,2,3,3,A,C
1,3,0,0,2,A,C
2,0,0,0,2,A,C
1,1,0,2,2,A,C
3,1,0,1,2,A,C
3,2,1,2,1,A,C
0,3,0,2,0,A,C
3,0,0,0,3,A,C
3,1,0,1,0,A,C
3,1,1,2,0,A,C
1,0,1,2,0,A,C
3,1,3,2,0,A,C
3,1,2,1,3,A,C
3,1,1,2,1,A,C
0,0,0,1,0,A,C
3,2,3,0,2,A,C
3,2,3,1,0,A,C
3,1,1,0,2,A,C
1,2,2,3,2,A,C
0,2,2,3,1,A,C
3,0,0,0,2,A,C
3,1,0,1,1,A,C
0,0,1,2,0,A,C
3,1,0,2,0,A,C
1,3,3,0,2,A,C
0,0,1,2,3,A,C
2,0,2,3,0,A,C
3,0,3,0,2,A,C
1,0,0,2,1,A,C
2,0,0,0,2,A,C
2,2,3,1,3,A,C
0,3,1,3,0,A,C
3,2,3,0,0,A,C
3,1,3,0,2,A,C
3,1,3,3,2,A,C
1,0,0,1,2,A,C
1,2,2,2,0,A,C
1,1,0,1,0,A,C
1,0,0,2,0,A,C
0,2,3,0,2,A,C
0,2,0,1,2,A,C
3,1,1,2,1,A,C
3,1,2,1,0,A,C
3,1,0,1,2,A,C
3,1,0,2,0,A,C
0,3,0,0,2,A,C
3,0,0,2,0,A,C
0,2,1,3,1,A,C
0,2,1,2,0,A,C
0,0,2,0,0,A,C
2,2,1,2,0,A,C
1,0,0,2,0,A,C
1,1,1,3,3,A,C
2,2,1,3,1,A,C
0,2,1,0,2,A,C
3,1,0,2,0,A,C
0,3,1,2,1,A,C
0,0,0,1,0,A,C
0,3,3,3,1,A,C
0,0,0,1,0,A,C
3,2,3,1,0,A,C
1,1,0,2,1,A,C
0,0,3,3,3,A,C
2,2,3,0,2,A,C
0,2,3,2,1,A,C
1,0,0,0,2,A,C
3,2,1,3,0,A,C
0,2,0,2,0,A,C
0,3,3,3,3,A,C
3,1,0,1,3,A,C
0,2,1,2,3,A,C
1,1,0,0,2,A,C
3,0,1,2,0,A,C
1,1,0,1,2,A,C
3,0,0,2,0,A,C
2,2,3,0,2,A,C
1,3,3,1,1,A,C
1,0,0,0,2,A,C
1,0,0,0,2,A,C
3,2,3,3,3,A,C
2,2,1,2,0,A,C
2,2,3,0,3,A,C
0,0,0,2,0,A,C
0,2,1,2,0,A,C
1,3,1,2,0,A,C
3,0,0,1,0,A,C
1,2,3,3,0,A,C
3,0,0,1,0,A,C
3,0,2,3,2,A,C
1,0,1,2,0,A,C
0,3,0,2,0,A,C
3,2,3,0,2,A,C
1,0,3,3,2,A,C
2,2,3,0,1,A,C
3,1,0,2,0,A,C
1,3,0,0,2,A,C
3,0,0,2,0,A,C
0,0,2,3,0,A,C
1,1,0,0,2,A,C
3,1,2,3,1,A,C
2,1,0,1,1,A,C
1,1,1,2,2,A,C
3,1,1,2,0,A,C
0,2,1,2,1,A,C
1,2,1,3,3,A,C
1,1,0,3,1,A,C
3,2,3,3,0,A,C
0,3,3,3,3,A,C
1,0,1,2,0,A,C
1,0,1,2,0,A,C
0,2,3,3,3,A,C
3,0,2,0,2,A,C
1,3,3,2,0,A,C
3,2,1,2,1,A,C
3,1,3,0,3,A,C
3,1,2,3,1,A,C
3,1,0,1,2,A,C
3,1,1,2,0,A,C
0,0,2,3,3,A,C
2,2,1,2,0,A,C
2,3,3,0,2,A,C
1,1,0,1,2,A,C
3,2,1,2,0,A,C
1,0,0,1,0,A,C
0,0,2,3,2,A,C
0,0,3,3,1,A,C
3,1,0,1,0,A,C
1,1,0,1,0,A,C
0,3,3,0,2,A,C
1,1,2,3,1,A,C
1,1,1,3,3,A,C
0,2,3,0,2,A,C
1,0,0,1,0,A,C
0,2,1,2,0,A,C
3,2,3,1,0,A,C
3,0,1,2,0,A,C
2,2,1,2,0,A,C
0,2,1,2,0,A,C
2,2,3,3,0,A,C
3,0,3,0,2,A,C
2,2,1,2,0,A,C
0,3,3,0,2,A,C
3,0,0,1,0,A,C
3,1,1,3,2,A,C
3,1,0,0,2,A,C
0,2,1,3,1,A,C
3,1,2,0,3,A,C
0,3,3,0,2,A,C
3,3,3,3,2,A,C
3,1,2,1,2,A,C
1,1,0,2,0,A,C
3,2,1,2,0,A,C
3,1,0,1,0,A,C
0,0,0,1,0,A,C
0,0,2,3,1,A,C
1,3,0,0,3,A,C
3,1,0,0,2,A,C
0,2,1,2,0,A,C
3,1,0,0,2,A,C
3,1,0,1,0,A,C
1,3,0,2,0,A,C
3,1,0,1,0,A,C
2,2,3,0,2,A,C
1,0,0,1,2,A,C
0,0,0,0,2,A,C
3,1,0,1,0,A,C
3,0,3,3,1,A,C
2,0,0,0,2,A,C
1,0,0,1,2,A,C
3,1,0,1,2,A,C
3,2,3,0,2,A,C
3,0,0,2,0,A,C
0,0,2,3,3,A,C
2,2,1,1,0,A,C
3,2,1,2,1,A,C
3,0,0,0,2,A,C
3,2,1,3,3,A,C
0,0,0,1,0,A,C
0,0,1,2,0,A,C
1,0,3,3,3,A,C
1,1,2,3,1,A,C
3,0,0,0,2,A,C
3,2,3,0,2,A,C
1,1,2,3,0,A,C
3,1,0,1,0,A,C
0,2,3,3,3,A,C
2,0,0,2,2,A,C
0,2,1,2,0,A,C
1,0,3,1,3,A,C
0,2,3,2,0,A,C
3,2,1,3,1,A,C
3,1,0,1,2,A,C
1,1,1,1,3,A,C
1,3,1,2,0,A,C
0,2,2,3,2,A,C
1,0,0,0,2,A,C
3,1,0,2,0,A,C
3,2,1,3,3,A,C
1,1,1,3,1,A,C
0,0,0,0,2,A,C
3,1,0,0,2,A,C
3,1,0,2,0,A,C
0,0,2,3,2,A,C
3,2,1,2,0,A,C
3,1,1,2,0,A,C
2,2,1,2,0,A,C
0,2,1,2,0,A,C
3,1,0,1,1,A,C
1,1,0,2,0,A,C
1,1,1,3,1,A,C
2,0,0,3,1,A,C
1,0,1,2,0,A,C
3,1,0,0,3,A,C
3,1,0,2,0,A,C
3,0,2,1,1,A,C
3,1,0,3,3,A,C
3,0,3,3,3,A,C
0,0,3,2,0,A,C
3,1,2,0,2,A,C
3,2,3,3,0,A,C
1,1,0,0,2,A,C
1,2,0,2,0,A,C
1,3,3,2,0,A,C
1,1,0,1,0,A,C
2,2,3,2,0,A,C
3,1,2,3,1,A,C
3,0,2,3,1,A,C
2,2,3,0,2,A,C
3,2,1,0,2,A,C
3,2,1,2,0,A,C
3,1,1,3,3,A,C
3,2,3,2,0,A,C
0,2,1,3,3,A,C
0,2,1,2,1,A,C
1,3,3,0,2,A,C
1,1,1,3,3,A,C
3,0,0,0,2,A,C
3,0,0,2,0,A,C
